#SampleID,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp,observations_deblur_100bp,observations_deblur_150bp
1774.462.Inte.Puer,32947,30923,31136,32420,19798,18299,0
1774.48Oral23.10.09,44540,40983,41496,44145,25783,24160,0
1774.497.Skin.Puer,35409,32080,32362,34653,20335,19037,0
1774.4BI22.10.09,44583,39982,40529,43323,23740,22182,0
1774.525.Skin.Puer,76010,68930,69596,72825,47703,43583,0
1774.53Fecal23.10.09,32422,29952,30203,32067,19052,18159,0
1774.60Nasal24.10.09,25732,23240,23592,25349,13848,13265,0
1774.61Vaginal24.10.09,36259,30161,32012,35873,21461,20205,0
1774.64.Skin.Puer,54819,52002,52501,54493,33347,31518,0
1774.64Oral24.10.09,33033,31421,31576,32848,21428,20379,0
1774.67Oral24.10.09,40646,37741,38406,40212,22355,21080,0
1774.7.Oral.Puer,22695,19508,19746,22479,12391,11671,0
1774.L507.Vagi.Puer,32904,30653,30792,32262,21914,20763,0
1774.L514.Oral.Puer,25373,24574,24681,25260,16652,15618,0
1774.L603.Oral.Puer,40080,37520,37827,39691,23315,21223,0
1883.2009.322.Crump.Artic.LTREB.main.lane3.NoIndex,100363,65223,70384,95147,43405,44385,6543
1883.2009.267.Crump.Artic.LTREB.main.lane2.NoIndex,77105,44100,47787,74072,32657,31796,204
1883.2008.294.Crump.Artic.LTREB.main.lane2.NoIndex,107147,70217,74571,102457,41686,42066,275
1883.2008.283.Crump.Artic.LTREB.main.lane2.NoIndex,79648,54645,58190,77412,39184,38549,342
1883.2008.145.Crump.Artic.LTREB.main.lane2.NoIndex,136244,75746,82931,128663,62888,62375,192
1883.2007.101.Crump.Artic.LTREB.main.lane2.NoIndex,150310,99494,106510,144049,66301,66155,449
1883.2011.563.Crump.Artic.LTREB.main.lane3.NoIndex,41108,28559,29058,40525,23583,22946,4069
1883.2011.541.Crump.Artic.LTREB.main.lane3.NoIndex,116504,69879,74840,111349,58727,60456,7733
1883.2011.537.Crump.Artic.LTREB.main.lane3.NoIndex,140211,110163,113508,135127,64750,63093,9983
1883.2011.531.Crump.Artic.LTREB.main.lane4.NoIndex,104741,65570,71309,97916,41358,42020,4909
1883.2011.497.Crump.Artic.LTREB.main.lane4.NoIndex,96699,83856,85761,95392,52987,51987,7536
1883.2011.486.Crump.Artic.LTREB.main.lane4.NoIndex,118455,78976,84147,111651,45604,46431,5407
1883.2011.297.Crump.Artic.LTREB.main.lane4.NoIndex,230249,164704,174874,219388,99781,101692,12186
1883.2010.224.Crump.Artic.LTREB.main.lane3.NoIndex,250875,155714,159605,246343,124731,123986,19809
1883.2010.316A.Crump.Artic.LTREB.main.lane3.NoIndex,102921,62096,66037,98514,47225,47588,7239
1883.2008.311.Crump.Artic.LTREB.main.lane2.NoIndex,73896,50876,53823,70508,30525,30946,198
1883.2008.301.Crump.Artic.LTREB.main.lane2.NoIndex,96354,60278,64801,94326,44836,45538,528
1883.2008.129.Crump.Artic.LTREB.main.lane2.NoIndex,81027,57293,60837,77685,33814,33832,218
1883.2008.124.Crump.Artic.LTREB.main.lane2.NoIndex,89026,62625,66048,85578,34780,35523,233
1883.2008.41.Crump.Artic.LTREB.main.lane2.NoIndex,240452,133626,144606,226143,93279,94536,489
1883.2007.379.Crump.Artic.LTREB.main.lane2.NoIndex,116423,57481,65050,109494,54722,54194,146
1883.2007.109.Crump.Artic.LTREB.main.lane2.NoIndex,94777,52638,56819,92578,44576,44318,317
1883.2007.075.Crump.Artic.LTREB.main.lane1.NoIndex,83933,61582,64759,82497,46171,44990,216
1883.2007.243.Crump.Artic.LTREB.main.lane2.NoIndex,112373,74474,79173,108750,48075,49009,390
1883.2011.54.Crump.Artic.LTREB.main.lane3.NoIndex,148069,101620,108295,142483,68894,70886,9912
1883.2011.527.Crump.Artic.LTREB.main.lane4.NoIndex,97033,63512,68121,92878,42566,44067,5100
1883.2011.499.Crump.Artic.LTREB.main.lane4.NoIndex,81624,67906,71711,79895,44289,43904,6305
1883.2011.362.Crump.Artic.LTREB.main.lane4.NoIndex,118498,69225,72212,112052,47194,47764,5571
1883.2010.21.Crump.Artic.LTREB.main.lane3.NoIndex,241930,98353,106275,224108,93556,97824,11824
1883.2008.307.Crump.Artic.LTREB.main.lane2.NoIndex,89957,55869,58924,88136,43886,44174,581
1883.2008.276.Crump.Artic.LTREB.main.lane2.NoIndex,92186,49007,54592,86645,44106,43438,142
1883.2008.151.Crump.Artic.LTREB.main.lane2.NoIndex,107237,72104,76125,104661,51571,51568,300
1883.2008.146.Crump.Artic.LTREB.main.lane2.NoIndex,108073,60316,67495,102745,50567,49996,144
1883.2008.103.Crump.Artic.LTREB.main.lane2.NoIndex,144147,98204,104220,138141,62314,63731,549
1883.2007.375.Crump.Artic.LTREB.main.lane2.NoIndex,115570,69205,73845,110005,53575,53415,149
1883.2007.362.Crump.Artic.LTREB.main.lane2.NoIndex,83966,46862,51801,79856,41048,40678,117
1883.2007.194.Crump.Artic.LTREB.main.lane2.NoIndex,105577,70099,73976,102382,44919,46605,280
1883.2007.111.Crump.Artic.LTREB.main.lane2.NoIndex,126944,85944,92424,121856,52933,53170,339
1883.2007.279.Crump.Artic.LTREB.main.lane2.NoIndex,101941,84008,85392,100239,55773,55732,675
1883.2003.228.Crump.Artic.LTREB.main.lane4.NoIndex,111886,79553,81548,107502,50375,50288,5938
1883.2011.534.Crump.Artic.LTREB.main.lane4.NoIndex,72703,60135,62858,71485,38725,37907,5608
1883.2011.532.Crump.Artic.LTREB.main.lane4.NoIndex,173795,119616,128395,165041,72080,72957,8578
1883.2011.493.Crump.Artic.LTREB.main.lane4.NoIndex,108647,91309,92367,106952,58889,58043,8261
1883.2011.314.Crump.Artic.LTREB.main.lane4.NoIndex,101106,50476,52844,97346,42727,44110,4438
1883.2011.203.Crump.Artic.LTREB.main.lane4.NoIndex,76123,45298,47200,73776,35208,35842,3797
1883.2011.112.Crump.Artic.LTREB.main.lane3.NoIndex,99648,64695,67522,97822,52660,53116,9156
1883.2011.545.Crump.Artic.LTREB.main.lane3.NoIndex,98192,64770,67675,95468,51830,52667,7369
1883.2009.334.Crump.Artic.LTREB.main.lane3.NoIndex,65797,47090,49534,65056,44104,43554,6898
1883.2008.342.Crump.Artic.LTREB.main.lane2.NoIndex,98043,65686,70933,94295,41964,42446,304
1883.2008.329.Crump.Artic.LTREB.main.lane2.NoIndex,88078,57987,61965,83199,38617,38344,367
1883.2008.142.Crump.Artic.LTREB.main.lane2.NoIndex,121827,69110,75597,115519,55695,55686,153
1883.2008.127.Crump.Artic.LTREB.main.lane2.NoIndex,138688,89754,95530,133366,55074,56587,489
1883.2008.115.Crump.Artic.LTREB.main.lane2.NoIndex,113149,75111,81021,108876,46066,46515,300
1883.2008.091.Crump.Artic.LTREB.main.lane2.NoIndex,74076,49817,53373,73073,39085,39595,486
1883.2007.364.Crump.Artic.LTREB.main.lane2.NoIndex,103491,55488,60840,97498,47822,47604,119
1883.2007.214.Crump.Artic.LTREB.main.lane2.NoIndex,111238,73064,77579,107451,46026,47064,328
1883.2007.21.Crump.Artic.LTREB.main.lane2.NoIndex,128498,80924,85783,123929,55206,56808,391
1883.2007.1.Crump.Artic.LTREB.main.lane2.NoIndex,139979,94502,100695,133734,60593,61108,396
1883.2011.533.Crump.Artic.LTREB.main.lane4.NoIndex,76335,62087,64560,75060,40406,39573,5688
1883.2011.501.Crump.Artic.LTREB.main.lane4.NoIndex,78947,65564,69148,77345,42623,42224,6058
1883.2010.294A.Crump.Artic.LTREB.main.lane3.NoIndex,123893,81056,86662,116949,50258,52213,8264
1883.2009.148.Crump.Artic.LTREB.main.lane3.NoIndex,79026,51885,58949,77057,42036,41390,5826
1883.2009.147.Crump.Artic.LTREB.main.lane3.NoIndex,59369,35387,38887,57222,28850,28756,4120
1883.2008.308.Crump.Artic.LTREB.main.lane2.NoIndex,86868,54787,57413,85705,47958,48005,320
1883.2008.281.Crump.Artic.LTREB.main.lane2.NoIndex,82497,49577,54240,79643,41095,40792,265
1883.2008.147.Crump.Artic.LTREB.main.lane2.NoIndex,83101,46090,51735,79329,39068,38499,126
1883.2008.128.Crump.Artic.LTREB.main.lane2.NoIndex,82179,56448,59887,78733,34603,35006,207
1883.2002.042.Crump.Artic.LTREB.main.lane1.NoIndex,121471,66637,68527,116204,57192,57030,398
1883.2011.544.Crump.Artic.LTREB.main.lane3.NoIndex,81616,57414,59974,79563,40097,41553,5750
1883.2011.536.Crump.Artic.LTREB.main.lane3.NoIndex,106840,76048,77128,105493,62947,60961,10705
1883.2011.524.Crump.Artic.LTREB.main.lane4.NoIndex,113437,68847,74960,106786,48231,48966,5358
1883.2011.494.Crump.Artic.LTREB.main.lane4.NoIndex,35493,27088,27783,34889,20510,20640,2126
1883.2011.491.Crump.Artic.LTREB.main.lane4.NoIndex,79152,63717,64458,78116,44084,43573,6306
1883.2011.485.Crump.Artic.LTREB.main.lane4.NoIndex,82922,71068,72821,81748,45371,44781,6602
1883.2011.553.Crump.Artic.LTREB.main.lane1.NoIndex,78976,57587,60146,74492,33714,33903,96
1883.2011.552.Crump.Artic.LTREB.main.lane1.NoIndex,95399,68597,72260,90510,42057,42929,119
1883.2010.302A.Crump.Artic.LTREB.main.lane3.NoIndex,69544,49247,50484,66613,29995,30367,4624
1883.2010.299B.Crump.Artic.LTREB.main.lane3.NoIndex,98323,65787,69627,91600,41085,40793,5759
1883.2008.298.Crump.Artic.LTREB.main.lane2.NoIndex,95082,66756,69590,93503,49874,48949,475
1883.2008.143.Crump.Artic.LTREB.main.lane2.NoIndex,110600,54436,60911,104183,52817,52091,116
1883.2008.081.Crump.Artic.LTREB.main.lane2.NoIndex,75337,42050,43385,74167,40562,39793,466
1883.2007.369.Crump.Artic.LTREB.main.lane2.NoIndex,95490,53063,58076,90266,45550,45142,99
1883.2007.366.Crump.Artic.LTREB.main.lane2.NoIndex,111997,62489,68998,106158,54009,53723,152
1883.2007.242.Crump.Artic.LTREB.main.lane2.NoIndex,102994,76573,79643,100446,48268,49434,486
1883.2011.539.Crump.Artic.LTREB.main.lane3.NoIndex,121127,89800,94439,118366,69056,69862,7859
1883.2011.538.Crump.Artic.LTREB.main.lane3.NoIndex,132838,99906,101780,131234,77607,76344,13187
1883.2011.298.Crump.Artic.LTREB.main.lane4.NoIndex,92237,68071,72154,89226,44039,44387,5095
1883.2009.315.Crump.Artic.LTREB.main.lane3.NoIndex,134056,90972,97538,127630,57812,59063,8820
1883.2008.269.Crump.Artic.LTREB.main.lane2.NoIndex,127752,86445,92156,126314,77249,75820,834
1883.2008.161.Crump.Artic.LTREB.main.lane2.NoIndex,103096,61217,65662,99665,53426,52591,429
1883.2008.093.Crump.Artic.LTREB.main.lane2.NoIndex,89485,57277,62291,87945,45536,45433,643
1883.2008.086.Crump.Artic.LTREB.main.lane2.NoIndex,150362,105669,111128,144552,59380,60305,524
1883.2007.255.Crump.Artic.LTREB.main.lane2.NoIndex,90027,59613,64231,86564,39945,40562,239
1883.2006.027.Crump.Artic.LTREB.main.lane1.NoIndex,88518,64871,65904,87455,55429,53831,309
1883.2011.56.Crump.Artic.LTREB.main.lane3.NoIndex,63140,49893,52148,61322,34857,34406,5786
1883.2011.498.Crump.Artic.LTREB.main.lane4.NoIndex,76434,57856,60130,73634,33147,32740,4227
1883.2011.495.Crump.Artic.LTREB.main.lane4.NoIndex,68757,59761,60990,67830,37483,36742,5047
1883.2011.292.Crump.Artic.LTREB.main.lane4.NoIndex,73709,48600,51048,71794,35575,36410,4846
1883.2010.314B.Crump.Artic.LTREB.main.lane3.NoIndex,104551,68729,73530,97967,41459,42778,6115
1883.2009.158.Crump.Artic.LTREB.main.lane3.NoIndex,78359,50296,54189,74623,35478,36256,5301
1883.2009.1.Crump.Artic.LTREB.main.lane3.NoIndex,70439,53039,54278,69202,38396,37872,6282
1883.2008.31.Crump.Artic.LTREB.main.lane2.NoIndex,109324,71649,76269,104665,45699,46529,327
1883.2008.144.Crump.Artic.LTREB.main.lane2.NoIndex,91996,60421,65166,88829,44225,43871,150
1883.2007.368.Crump.Artic.LTREB.main.lane2.NoIndex,123209,68616,74878,116206,59274,58668,160
1883.2007.352.Crump.Artic.LTREB.main.lane2.NoIndex,135991,93980,100224,130680,60151,60968,380
1883.2007.092.Crump.Artic.LTREB.main.lane1.NoIndex,109491,73235,78814,105142,46660,47250,160
2080.S71D4336,36016,25803,26362,34249,22401,21869,19397
2080.S71D350.400,32299,26867,27730,30892,17518,17146,14560
2080.S54D2585,30410,25424,25952,28727,18052,17577,15232
2080.S45D435,29397,23656,23635,28273,17787,17318,15768
2080.S42D60.85,31252,25948,26884,29526,18410,17825,15815
2080.S42D735,34205,28684,29181,32212,19362,18561,15846
2080.S39D60.85,24932,20969,21769,23830,14803,14197,12239
2080.S39D435,30075,23825,24194,28565,17713,17421,15877
2080.S39D2585,24196,20544,20894,22893,14919,14599,12781
2080.S39D5329,30602,26332,26850,29059,18676,18535,16434
2080.S26D75.100,29707,22570,24546,28216,16449,15414,12511
2080.S26D350.400,29357,24175,24822,27734,15987,15553,13079
2080.S16D40,27375,22391,24025,26125,16601,16158,13736
2182.CPZF2C,32676,24541,24941,30388,16621,17453,15219
2182.CPZFOB,24788,14868,15120,18678,9912,10615,9173
2182.NKF0004,39415,15696,16052,25177,13564,13306,11390
2182.VHBJ0024,31204,20949,21394,28728,17228,16920,14465
2182.VHPBC0022,29573,20036,20786,26483,16714,15986,13850
2182.Z1FB,30590,23508,23946,29222,16081,17082,15064
2182.Z4RA,29764,23947,24591,28547,18742,18549,16428
2182.ZF12B,21717,16930,17124,20190,11213,11961,10491
2192.H01a.Bathroom.Door.Knob.102.lane1.NoIndex.L001,105308,102548,102818,105117,70587,69263,63070
2192.H01a.Kitchen.Light.Switch.195.lane2.NoIndex.L002,49094,47539,47574,48965,39532,38555,32988
2192.H01a.Front.Door.Knob.317.lane2.NoIndex.L002,71037,66714,67469,70603,45933,45712,38306
2192.H02a.Front.Door.Knob.773.lane2.NoIndex.L002,97424,94175,94302,97067,63254,62984,55622
2192.H02a.Bedroom.Floor.820.lane2.NoIndex.L002,60166,58451,58288,60009,34424,33988,34591
2192.H02a.Kitchen.Light.Switch.867.lane2.NoIndex.L002,54153,53479,53545,54107,46311,45014,39219
2192.H03a.Kitchen.Counter.1225.lane5.NoIndex.L005,141603,128517,130660,139679,81167,81185,69317
2192.H03a.Kitchen.Light.Switch.1299.lane5.NoIndex.L005,113147,106390,106972,112455,71571,70807,57349
2192.H03a.Front.Door.Knob.1349.lane5.NoIndex.L005,111780,102734,104205,110518,73023,71776,54447
2192.H04a.Bedroom.Floor.1804.lane5.NoIndex.L005,113835,106527,105320,113251,80035,78393,62328
2192.H04a.Kitchen.Light.Switch.1875.lane6.NoIndex.L006,82289,76593,77409,81808,37415,37336,46707
2192.H04a.Front.Door.Knob.2045.lane2.NoIndex.L002,97606,94841,94487,97423,40450,39665,58650
2192.H04a.Bathroom.Door.Knob.2046.lane2.NoIndex.L002,82893,81565,81136,82796,30173,29794,51598
2192.H05b.Bathroom.Door.Knob.2454.lane2.NoIndex.L002,116366,112825,113370,116140,81766,80318,72570
2192.H05b.Front.Door.Knob.2693.lane5.NoIndex.L005,91878,86297,87447,91155,51962,52570,43680
2192.H05b.Kitchen.Light.Switch.2811.lane6.NoIndex.L006,53126,51772,52020,53021,41276,40270,34891
2192.H05b.Kitchen.Floor.2858.lane1.NoIndex.L001,60158,58766,58807,60033,34597,34787,36137
2192.H05b.Kitchen.Floor.2930.lane1.NoIndex.L001,62679,61389,61856,62581,49630,48800,42615
2192.H05b.Bedroom.Floor.2956.lane1.NoIndex.L001,54056,52115,51934,53944,23926,23481,32672
2192.H06a.Kitchen.Counter.3025.lane1.NoIndex.L001,66075,64066,62094,65915,37652,37457,42397
2192.H06b.Kitchen.Counter.3169.lane5.NoIndex.L005,70002,67751,67859,69814,44819,44712,37101
2192.H06b.Kitchen.Light.Switch.3267.lane2.NoIndex.L002,72876,69661,69769,72458,50194,49581,44977
2192.H07a.Kitchen.Counter.3673.lane2.NoIndex.L002,106931,98660,99213,106207,56750,58451,54918
2192.H07a.Kitchen.Floor.3674.lane2.NoIndex.L002,104656,100474,100874,104373,66775,66503,60255
2192.H07a.Bathroom.Door.Knob.3678.lane2.NoIndex.L002,96855,94783,95368,96693,73270,72104,65055
2192.H07b.Kitchen.Floor.4058.lane2.NoIndex.L002,109601,105948,105283,109177,62672,62899,61806
2192.H07b.Kitchen.Counter.4129.lane6.NoIndex.L006,61514,54202,55315,60580,32452,32935,28467
2192.H07b.Front.Door.Knob.4133.lane6.NoIndex.L006,79111,77788,78344,78981,65682,63876,52144
2192.H07b.Kitchen.Floor.4178.lane6.NoIndex.L006,51130,47208,47656,50853,22727,22769,28710
2192.H01a.Nose.39.lane6.NoIndex.L006,70967,67942,68195,70792,53747,52515,44012
2192.H01a.Nose.207.lane6.NoIndex.L006,39915,36285,37567,39660,26452,25965,20727
2192.H01a.Nose.327.lane6.NoIndex.L006,20173,17589,18347,19974,12077,11998,10104
2192.H03a.Nose.1215.lane6.NoIndex.L006,56111,48617,53133,55772,35538,35082,29354
2192.H04a.Nose.1857.lane6.NoIndex.L006,93951,80588,83297,92330,44596,46659,39360
2192.H05b.Nose.2409.lane5.NoIndex.L005,69804,68445,68196,69656,27824,27085,39248
2192.H05b.Nose.2508.lane5.NoIndex.L005,94055,92301,92462,93807,64439,63563,55439
2192.H05b.Nose.2532.lane5.NoIndex.L005,86235,84009,84360,86006,58650,57071,46341
2192.H05b.Nose.2628.lane5.NoIndex.L005,88706,85817,86399,88161,49743,50183,44469
2192.H07a.Nose.3660.lane6.NoIndex.L006,81631,80229,80046,81423,38173,37423,47390
2192.H07a.Nose.3681.lane6.NoIndex.L006,78130,76478,76664,77914,43668,43593,44460
2192.H07b.Nose.3849.lane1.NoIndex.L001,74876,72209,72349,74648,49826,49672,44218
2192.H07b.Nose.3873.lane1.NoIndex.L001,70071,67060,67338,69763,40818,40889,38244
2192.H07b.Nose.3945.lane1.NoIndex.L001,62699,61576,61534,62578,33068,32779,36536
2192.H07b.Nose.4113.lane1.NoIndex.L001,78898,77918,78429,78783,63289,61831,50599
2192.H01a.Hand.31.lane1.NoIndex.L001,101405,98664,98976,101231,51558,51155,59013
2192.H01a.Hand.79.lane1.NoIndex.L001,136742,133538,133665,136240,106996,103015,84578
2192.H02a.Foot.632.lane2.NoIndex.L002,72341,70315,70978,72145,51509,50389,41820
2192.H03a.Foot.1208.lane5.NoIndex.L005,70609,67474,68048,70329,46392,45549,36512
2192.H03a.Foot.1406.lane6.NoIndex.L006,87604,82057,82514,87255,37669,38082,47994
2192.H04a.Foot.1859.lane6.NoIndex.L006,81050,78515,78411,80698,46894,46638,42831
2192.H04a.Foot.1907.lane6.NoIndex.L006,70424,68856,68775,70240,47067,46541,44618
2192.H04a.Dog.Nose.1941.lane6.NoIndex.L006,82858,79318,79054,82510,43538,43185,44849
2192.H05b.Hand.2866.lane5.NoIndex.L005,72726,67492,52184,72162,47605,46959,36393
2192.H06b.Foot.3086.lane5.NoIndex.L005,54395,46516,46861,54083,24125,24464,27632
2192.H06b.Foot.3230.lane6.NoIndex.L006,63185,53907,56239,62162,31651,32232,30458
2192.H06b.Foot.3275.lane6.NoIndex.L006,80795,77652,77996,80521,45035,43879,44574
2192.H06b.Hand.3349.lane6.NoIndex.L006,80870,79838,79240,80727,58726,57572,46491
2192.H06b.Foot.3368.lane6.NoIndex.L006,84372,78690,78538,84071,36694,36635,46821
2229.B.I.chem.HE.juv1.Thomas.CMB.Seaweed.lane5.NoIndex.L005,90651,32679,32901,90295,74123,73061,12245
2229.B.I.chem.HE.juv3.Thomas.CMB.Seaweed.lane5.NoIndex.L005,87114,56704,54519,86278,66301,65329,12823
2229.MT.L.B.HE.st2.Thomas.CMB.Seaweed.lane5.NoIndex.L005,100926,36992,44343,99504,68805,68502,13895
2229.S1.N1.7.HE4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,80061,40235,47625,78621,46924,46983,17492
2229.S1.N11.EH1.Thomas.CMB.Seaweed.lane5.NoIndex.L005,55606,22223,28407,55208,34815,35409,8863
2229.S1.N2.4.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006,99265,41066,46347,98364,59176,59489,22644
2229.S1.N2.5.HP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,96625,44733,41449,95838,61995,61206,22674
2229.S1.N3.4.HE1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,102771,61883,64592,102127,71818,70403,27171
2229.S1.N33.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005,83245,35537,41007,82790,55755,55606,10877
2229.S1.T1.5.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006,56184,37316,35630,55853,39027,38264,14416
2229.S1.T11.PS1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,86134,48644,58404,85269,53174,53675,20759
2229.S1.T12.EH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,134316,76636,91462,133627,87175,86941,29576
2229.S1.T2.5.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006,66972,31479,30820,66603,45552,45942,20958
2229.S1.T21.EH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006,86025,52048,62529,85209,55521,55377,20204
2229.S1.T21.ES4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,105401,59169,69626,104001,62275,62355,26533
2229.S1.T23.ES3.Thomas.CMB.Seaweed.lane6.NoIndex.L006,84481,51621,58113,83239,49964,49979,20432
2229.S1.T23.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,111300,56562,61191,110377,69332,68847,26633
2229.S1.T33.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,107067,59885,54203,106206,66888,66036,25961
2229.S2.N1.4.HE4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,64115,27058,33061,63746,43043,43058,15861
2229.S2.N23.EH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,78291,39110,46046,77391,48196,48646,17500
2229.S2.N23.PH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006,85969,45018,53048,85276,53973,54393,20638
2229.S2.T1.6.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006,92258,42143,45077,91602,58637,58519,23802
2229.S2.T1.6.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,97552,71623,72479,96922,62713,62822,27258
2229.S2.T11.PH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006,118289,48891,68895,117395,75972,75592,31340
2229.S2.T12.EH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006,73382,26446,38603,72771,45168,44856,17439
2229.S2.T12.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,73540,39778,45445,73088,47354,47867,21071
2229.S2.T2.4.HP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,119574,76786,82743,118448,73108,74545,30751
2229.S2.T2.6.HP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,110429,70583,66917,109546,70051,70554,28231
2229.S2.T2.6.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,108479,71316,68569,107512,67294,68175,27979
2229.S2.T21.ES1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,100451,63261,67273,98502,60370,59324,20989
2229.S2.T21.PS4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,108352,73163,81302,106891,63994,64315,24762
2229.S2.T22.ES2.Thomas.CMB.Seaweed.lane6.NoIndex.L006,51840,24849,29337,49506,26576,27138,10923
2229.S2.T3.6.HP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,118281,64707,62743,117215,75078,75742,30240
2229.T.B.I.1.SE5.Thomas.CMB.Seaweed.lane6.NoIndex.L006,97424,61472,68631,95326,58025,59215,24557
2229.T.B.I.2.HE2.Thomas.CMB.Seaweed.lane6.NoIndex.L006,94937,42709,50142,93200,56845,57212,22059
2229.T.B.I.2.SE2.Thomas.CMB.Seaweed.lane6.NoIndex.L006,96825,54383,63752,94365,56557,56478,22854
2229.T.B.I.3.HE4.Thomas.CMB.Seaweed.lane6.NoIndex.L006,96556,56334,60981,95574,64368,64135,22997
2229.T.L.B.3.HE1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,92746,32340,34651,92084,63247,64348,18600
2229.W1.N3.4.SE2.Thomas.CMB.Seaweed.lane6.NoIndex.L006,99534,43426,49322,97572,55638,55958,21914
2229.W1.N3.5.HE5.Thomas.CMB.Seaweed.lane6.NoIndex.L006,115305,32562,63939,114132,76005,75242,23919
2229.W1.T1.4.HP3.Thomas.CMB.Seaweed.lane5.NoIndex.L005,95773,42092,39799,95251,65016,64141,17716
2229.W1.T11.EH1.Thomas.CMB.Seaweed.lane5.NoIndex.L005,99243,66268,68606,98224,58870,58690,16175
2229.W1.T12.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005,69784,33537,44469,69091,42917,43098,9975
2229.W1.T2.5.HP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005,56302,30323,33513,55823,36948,36540,9396
2229.W1.T22.PH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006,94574,53814,59391,93149,57253,56914,23495
2229.W1.T3.6.HP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005,72264,33938,36049,71557,45401,45472,11453
2229.W1.T31.EH4.Thomas.CMB.Seaweed.lane5.NoIndex.L005,62566,27349,39437,62139,42699,42241,12776
2229.W1.T32.EH4.Thomas.CMB.Seaweed.lane5.NoIndex.L005,75541,45303,51499,75202,57812,56291,16172
2229.W1.T33.PH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006,60830,25334,28961,60181,39171,38703,16283
2229.W1.T33.PS1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,139135,95350,99192,136409,76000,74447,23837
2229.W2.N1.7.HE3.Thomas.CMB.Seaweed.lane6.NoIndex.L006,101570,72724,79123,100744,69629,68648,25364
2229.W2.N1.9.HE5.Thomas.CMB.Seaweed.lane6.NoIndex.L006,110463,69019,77485,109498,72967,71881,26017
2229.W2.N22.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005,89317,50850,65455,88668,56445,56732,16031
2229.W2.N23.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005,77587,44265,49267,76787,49737,50088,11312
2229.W2.N23.ES3.Thomas.CMB.Seaweed.lane5.NoIndex.L005,110579,67787,90200,109475,72432,71277,17060
2229.W2.N3.4.HE3.Thomas.CMB.Seaweed.lane6.NoIndex.L006,72922,57114,58229,72574,57030,56060,20418
2229.W2.N3.5.HP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005,53910,22505,25991,53176,31685,32301,8393
2229.W2.N32.EH2.Thomas.CMB.Seaweed.lane5.NoIndex.L005,70908,44801,49825,70411,49530,49121,12872
2229.W2.T1.4.HP1.Thomas.CMB.Seaweed.lane5.NoIndex.L005,47794,21281,20301,47492,34181,33907,9478
2229.W2.T13.EH4.Thomas.CMB.Seaweed.lane5.NoIndex.L005,69216,28947,35981,68709,44509,45017,12130
2229.W2.T21.PH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006,75172,29883,42792,73879,44866,44645,15943
2229.W2.T22.ES2.Thomas.CMB.Seaweed.lane5.NoIndex.L005,87901,49019,55323,86833,52738,53311,16061
2229.W2.T3.4.HP1.Thomas.CMB.Seaweed.lane5.NoIndex.L005,54965,29544,26044,54544,36035,34992,9120
2229.W2.T33.PS5.Thomas.CMB.Seaweed.lane6.NoIndex.L006,100331,44755,52833,98100,57826,57794,22298
2300.BB.12.anus,107766,43552,43735,101296,39651,36039,0
2300.BB.2149.lavage20,142321,136401,136723,141566,105716,101588,0
