#SampleID,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp,observations_deblur_100bp,observations_deblur_150bp
1665.RWB2011OCT25.02,148013,12445,12467,94105,9024,8724,0
1673.MBS61,98949,86938,87003,98181,73288,71529,58601
1673.MBS65.1,38032,34930,35282,37565,25980,25403,21022
1673.MBS65.3,120900,73631,37499,120395,96578,94725,81583
1673.MBS65.4,121354,112883,112933,120814,95967,94583,76840
1673.MBS1.1,139457,15019,15212,138380,29217,29254,80139
1673.MBS2,126347,25020,25527,125674,40351,40089,76376
1673.MBS105.3,120489,58934,56244,119809,85509,83675,76305
1673.MBS105.4,76305,34500,32708,75837,41731,41052,44115
1673.MBS119.4D,88706,20405,20678,88067,39944,38584,53808
1673.MBS119.3DY,62844,60938,61001,62647,53387,52747,46041
1673.MBS119.4DY,143222,38185,37426,142289,81340,79460,80290
1673.MBS0428.1,148512,29083,31019,147095,41748,42759,81734
1673.MBS0428.5,114558,58030,60500,113936,83413,81670,73115
1673.MBS0613.3,155314,14259,14901,154194,35092,34812,89166
1673.MBS0613.4,142124,10845,13216,140364,28120,28964,73840
1674.McG.F110714Jr5H1,22145,13276,14386,20221,11627,11610,9582
1674.McG.F110714Jr5H5,21789,13948,15193,20038,11136,11159,9349
1674.McG.P110714Hi2,18957,13236,14589,17958,10588,10606,8722
1692.Soil.BE.PolygonB.Medium.Rim.08.11.2012,59495,45537,48559,57291,31848,31161,0
1692.Biofilm.A.DC.1.C.2012,71398,55463,57796,70439,39049,38179,0
1692.Biofilm.B.E2.2.W.2012,217484,165902,172976,215226,117423,114532,0
1694.St5F11.Pmoss.Jstar.16s.NoIndex.sequences,102144,92265,92938,101040,53727,53723,0
1694.St5C6.Pmoss.Jstar.16s.NoIndex.sequences,42464,37016,37292,42002,24093,23412,0
1694.St4C2.Pmoss.Jstar.16s.NoIndex.sequences,252867,246511,246845,252529,191402,185908,0
1694.St4C1.Pmoss.Jstar.16s.NoIndex.sequences,52747,46340,46643,52309,33663,32219,0
1694.St3C1.Pmoss.Jstar.16s.NoIndex.sequences,82796,65571,70819,81478,35571,36779,0
1694.St3A6.r.EMPbird.v4.NoIndex.L001,112092,102710,102365,111787,85755,84298,0
1694.St2G4.Pmoss.Jstar.16s.NoIndex.sequences,212303,104262,104826,210671,68553,68748,0
1694.St2F7.Pmoss.Jstar.16s.NoIndex.sequences,98845,92310,93168,98666,72067,69239,0
1694.St2E5.Pmoss.Jstar.16s.NoIndex.sequences,122882,102923,104132,121759,64969,64993,0
1694.St2B6.Pmoss.Jstar.16s.NoIndex.sequences,85119,66374,67280,84606,46189,45105,0
1694.St3H11.Pmoss.Jstar.16s.NoIndex.sequences,201126,161181,161185,200554,122923,117603,0
1694.St1C7.Pmoss.Jstar.16s.NoIndex.sequences,98152,66536,67690,97233,39451,38887,0
1694.St1C1.Pmoss.Jstar.16s.NoIndex.sequences,105110,73731,75334,103658,48370,47287,0
1696.CT0011.3,31970,24239,26124,31376,17785,17493,0
1696.FTA.A.24a,50946,39415,39918,49132,22324,23840,0
1696.FTA.B.2a,75222,64494,65279,73936,35359,37966,0
1696.VH0017A,62373,46751,48070,61245,33100,32481,0
1696.VH0026B,32013,25121,26104,31182,16813,16539,0
1696.VH0035A,40996,33091,33642,40192,21891,21266,0
1696.X.C.0,38228,30775,31057,37872,17163,20226,0
1696.X.D.0,31866,22702,22942,30818,13270,15165,0
1702.AT1,94480,78244,80911,91057,48529,47996,0
1702.DCF4,79369,67782,70209,77027,41558,40820,0
1702.DCS2,81913,70749,73374,80196,45826,45255,0
1711.KAJ3.1,16980,11319,12044,15704,8762,8544,6535
1711.KAJ7.2,22987,15051,16193,21161,10793,10534,8209
1711.KAM6.3,52638,32787,35801,47752,24882,24853,19322
1713.McG.L3B1020,17435,12465,13289,16409,8825,8639,6849
1713.McG.L2K210,17394,11086,12280,16042,7929,7663,6064
1713.McG.L1N02,22492,14824,15839,19950,10192,10053,7295
1714.McG.PC210,36717,26590,28737,34474,18415,17794,14522
1714.McG.LB210,26836,18198,19508,25019,13148,12676,10099
1714.McG.OPC210,33672,21163,22701,30068,15698,15316,11466
1715.McG.NQ3,23564,14711,15986,20544,10446,10216,7496
1715.McG.NQ2,21734,14000,15099,19332,10066,9888,7261
1715.McG.NN1,21270,14468,15484,19379,10196,9883,7430
1716.McG.PAPrS02,27607,16308,18105,24219,12165,11862,8773
1716.McG.PAPrS06,21171,13470,14747,18791,9935,9615,7030
1716.McG.PAPrS38,19983,12257,13666,17798,9067,8847,6613
1717.KBC4.experimental.plot,23221,16652,17621,21215,11735,11654,9414
1717.36L.low.fertilizer,30006,19403,21327,27672,15781,15695,12678
1717.32.high.fertilizer,23484,16538,17736,22108,13301,13075,10609
1721.B16M,56610,46973,48802,56423,43856,43143,7026
1721.B3T,35616,30440,33020,35505,27145,27116,4449
1721.S9M,124412,93862,99748,122964,62153,63386,9779
1721.BMC.8.5T.2.1,247005,198316,206968,243002,105865,95285,2711
1734.BD.ERD506,150105,144207,144599,149385,88760,85070,0
1734.BD.ERD507,91517,75371,77929,90515,59191,57249,0
1734.BD.NBS1055,76217,51526,54304,75025,49104,48022,0
1734.LD.Glosor1,85587,82881,83234,85293,68841,67226,0
1734.LD.NBS1051F,87312,67017,67599,86869,51088,50079,0
1734.LD.NBS1069E,87193,81408,80655,86165,62859,60361,0
1734.LD.NBS1079E,94213,63543,71349,93009,58802,58199,0
1736.Y43b.0811,130517,106497,109505,129811,61123,64234,0
1736.R3.0410,60366,50493,51828,60011,30259,31595,0
1736.R19.0510,125901,105136,108336,125355,63904,65815,0
1736.B34.0710,173420,149196,154107,172529,84155,87003,0
1736.B28b.1110,36703,30089,31882,36495,18636,18759,0
1736.Y2b.0911,193986,155984,161591,192390,88916,93143,0
1736.O38.0711,210735,169174,174105,209561,97222,102824,0
1736.B17.0609,80882,66996,69438,80212,40514,41307,0
1747.200080.92812.saliva,93159,62774,66141,87370,50381,51346,45694
1747.200080.92812.skin,31830,23898,24291,27988,15330,14660,11112
1747.200188.saliva,65352,17840,18171,28341,12422,12148,9780
1747.200197.fecal,35261,31495,31673,33425,23998,23555,20346
1747.200197.holding.pen2.dirt.plant.matter,69100,40066,40238,46595,29707,29299,25810
1747.200197.holding.pen2.straw,69897,29486,29859,39422,20367,20354,17975
1747.207507.10512.fecal,49826,42404,42979,47674,32379,31463,26350
1747.207507.10512.skin,56150,44342,44920,49811,30970,30576,26746
1747.209107.holding.pen.A.debris,59579,27396,28753,43129,19513,19529,16881
1747.209107.saliva,34683,21923,22288,26554,18653,18326,15845
1747.212070.holding.pen.B.debris,52351,11917,12016,19164,7669,7444,7240
1747.907019.exhibit.dirt.plant,257544,116264,117818,157813,77442,77861,63089
1747.992319.skin,49362,34461,36135,43610,25130,25492,22832
1747.992491.skin,77776,46571,47375,67752,32346,31773,25483
1747.992495.skin,36384,31812,32410,34231,23806,23326,19970
1747.buru.991965.fecal,55333,44757,47128,53361,37723,37506,33426
1747.c.v.v.2011008.body,49836,12285,12578,18220,8487,8690,7546
1747.c.v.v.2011009.body,72476,64753,64879,68739,48352,47796,41550
1747.c.v.v.2011012.oral,50704,40716,42006,47911,35551,34845,29187
1747.DZF.5302012.RJ.flick,22571,15559,15165,20319,12914,13016,10858
1747.DZF.612012.C.water,57828,36628,36622,55218,40109,38767,33648
1747.DZF.612012.C.window,22604,10518,10959,13697,7771,7740,6352
1747.DZF.612012.RJ.front.rock.ledge,112479,35009,32166,58507,26889,27351,23289
1747.DZF.612012.RJ.soil,76231,54999,52419,71954,44058,44847,38226
1747.DZF.6132012.TJ.back.rock.wall,21507,12816,13473,18042,11464,11560,9418
1747.DZF.6132012.TJ.center.basking.rock,43410,30590,31579,40438,24625,24886,21163
1747.DZF.6132012.TJ.door,24301,11331,11934,15240,9197,9320,7689
1747.DZF.6132012.TJ.exhibit.glass,33983,23820,24501,29023,17282,17451,14356
1747.DZF.6132012.TJ.holding.floor,85264,69436,69823,80650,50654,50538,42974
1747.DZF.6132012.TJ.holding.wall,86303,64381,65571,79849,44628,45140,36648
1747.DZF.6132012.TJ.log,61574,41929,43476,55772,33839,34354,28961
1747.DZF.6132012.TJ.log.by.shift,83294,59823,61421,78854,49888,50124,42867
1747.DZF.6132012.TJ.ponytail.palm.tree,44784,25887,28976,36338,20717,20961,17617
1747.DZF.6132012.TJ.shelf,54006,41772,42728,51393,31569,32103,27482
1747.DZF.6132012.TJ.side.basking.rock,61435,42072,43629,55729,33445,34139,28959
1747.DZF.6132012.TJ.sunken.tree.stump,70386,43395,45368,57826,34291,34211,28717
1747.DZF.6132012.TJ.tree.in.central.planter.leaves,38948,28291,28901,34388,20856,20951,18030
1747.DZF.6202012.KK.water,59207,43718,46712,55846,35706,35682,31795
1747.DZF.6202012.RJ.back.rock.ledge,71188,52943,50242,67074,40488,41239,35150
1747.DZF.6202012.RJ.front.ledge,71027,53182,49383,67203,41715,42611,36268
1747.DZF.6202012.RJ.glass.window,65566,45255,43462,57379,34738,35350,30431
1747.DZF.6202012.RJ.log,119039,76454,72821,97171,57184,58163,49593
1747.DZF.6202012.RJ.metal.door.on.N.side,40701,29003,30116,37045,20490,20814,16647
1747.DZF.6202012.RJ.metal.entry.door,66838,33001,31409,43824,24008,24536,20974
1747.DZF.6202012.RJ.plant,46158,37692,37031,43197,28405,28355,24398
1747.DZF.6202012.RJ.rock.wall,41951,26956,26090,33408,19911,20216,17208
1747.DZF.6202012.RJ.soil,91127,70042,67886,86411,52243,52893,45187
1747.DZF.6202012.RJ.soil.under.basking.site,63669,45606,43031,56610,33199,33965,28148
1747.DZF.6252012.A.concrete.wall,31920,20057,20468,24388,14381,14496,12749
1747.DZF.6252012.A.log,71469,52671,55039,65858,34370,35168,31102
1747.DZF.6252012.A.metal.wall,62726,47855,49277,57975,31609,32477,28839
1747.DZF.6252012.A.plastic.hide.box,91370,15827,16116,29849,10340,10509,9122
1747.DZF.6252012.A.shipping.box,72753,34349,35035,42426,22308,22844,20397
1747.DZF.6252012.A.water.bowl,60863,47296,49730,57798,37841,38063,33354
1747.DZF.6272012.KK.concrete.wall,46739,35979,36975,41759,25266,25559,22113
1747.DZF.6272012.KK.log,83641,49514,51616,75972,33975,34813,30274
1747.DZF.6272012.KK.metal.wall,59504,44822,44830,52866,30377,30942,27044
1747.DZF.6272012.KK.mulch.substrate,40634,29224,30463,38467,21488,21690,19040
1747.DZF.6272012.KK.plastic.hide.tub,82268,69619,70284,77723,50755,50016,43380
1747.DZF.652012.C.drool,18869,12174,12355,13422,9121,9033,7752
1747.DZF.672012.KK.fecal,41727,38467,38532,40246,31821,30984,27830
1747.hi.five.23569.oral,99248,45773,47446,82101,54526,54088,46621
1747.jordy.409305.forehead,17249,11118,11651,14843,7874,7557,5943
1747.L00376.81512.back,20961,13430,14691,17348,9088,9159,7608
1747.L00376.81812.drool1,33820,20191,21058,24076,15798,15714,13018
1747.L00376.81812.feces,53811,43506,43700,51202,35310,35031,31214
1747.ocher.23292.oral,50656,33834,34835,40824,29450,29091,24975
1747.RGZ.7172012.H.saliva,64245,33121,35352,57230,39700,39483,34624
1747.RGZ.7172012.NN.saliva,62625,50357,51339,58247,35567,36405,31063
1747.rinca.51.101212,47160,39816,39953,45438,34082,33202,28975
1747.Sanchez.72612.saliva2,35730,26705,27566,33287,20240,20809,16553
