wyo_leaf_FPsc_02_052,wyo_leaf_FPsc_02_064,wyo_leaf_FPsc_02_065,wyo_leaf_FPsc_04_141,wyo_leaf_FPsc_04_170,wyo_leaf_FPsc_04_174,wyo_leaf_FPsc_05_178,wyo_leaf_FPsc_05_181,wyo_leaf_FPsc_05_218,wyo_leaf_FPsc_07_272,wyo_leaf_FPsc_07_292,wyo_leaf_FPsc_07_296,wyo_leaf_FPsc_10_399,wyo_leaf_FPsc_10_428,wyo_leaf_FPsc_10_435,wyo_leaf_FPsc_12_508,wyo_leaf_FPsc_12_517,wyo_leaf_FPsc_12_523,wyo_leaf_R500_02_055,wyo_leaf_R500_02_059,wyo_leaf_R500_02_082,wyo_leaf_R500_04_153,wyo_leaf_R500_04_154,wyo_leaf_R500_04_162,wyo_leaf_R500_05_179,wyo_leaf_R500_05_202,wyo_leaf_R500_05_213,wyo_leaf_R500_07_266,wyo_leaf_R500_07_269,wyo_leaf_R500_07_278,wyo_leaf_R500_10_406,wyo_leaf_R500_10_424,wyo_leaf_R500_10_432,wyo_leaf_R500_12_485,wyo_leaf_R500_12_504,wyo_leaf_R500_12_513
0.767763456,0.324098503,0.419307887,1.130996906,0,0.872953347,0,0,0.603602948,0,0.148906049,0.302770943,0.157520101,0.276971733,0,0.504064272,0,0.179619202,0.047822355,0.019589765,-0.008642825,-0.036875416,-0.065108006,-0.093340596,-0.121573187,-0.149805777,-0.178038367,-0.206270958,-0.234503548,-0.262736138,-0.290968729,-0.319201319,-0.34743391,-0.3756665,-0.40389909,-0.432131681
15.51204642,12.65340514,12.23498485,11.92401959,16.02532604,15.58119881,13.29748969,12.65996741,17.09101747,16.61906458,18.25900864,16.13965929,13.85727952,13.50777293,13.77568017,15.40875752,15.32327717,15.33063479,17.59127784,18.44901413,15.52611806,15.67859639,15.39403518,15.05409116,14.7684885,14.67025892,17.12584781,19.66686149,15.60598032,14.96483322,18.58433482,20.51381257,15.80898025,18.99266642,17.51985326,15.75366579
0.770760805,0.982483546,0.733788803,0.487178533,0.490331043,0.736190656,0.753389851,0.474891792,0.305466853,0.562336727,0.598514463,0.306844726,0.477273303,0.42211046,0.737008617,0.337412222,0.452062874,0.442721584,6.130195641,8.092621406,6.299075941,8.66235422,7.928262111,4.337022969,7.965435836,7.10241901,5.216560393,7.66259579,5.210235065,8.325588407,7.238362425,6.84945988,8.640743162,8.025718181,5.710802348,8.206010367
35.4812668,48.76904635,44.46833524,43.78024394,37.90667573,36.24400454,46.46500211,47.77615287,49.21325736,40.15885162,42.43211883,44.93060243,35.28623524,40.94196156,35.56874042,31.66481348,47.75483741,31.14145554,32.97262339,53.28094423,44.45018738,61.08607946,37.28480527,32.15148755,54.59120063,57.95257156,35.08053316,37.3716716,46.62246595,47.77121696,40.13359674,40.50349888,46.10243826,28.50985314,37.88939688,40.08183947
1.22842153,2.10664027,1.048269718,1.454138879,0.980662086,2.473367818,1.045839423,1.103138786,1.358106633,3.481598983,1.489060491,1.816625659,2.520321608,1.107886932,1.160622928,1.848235663,2.702279724,1.889351588,3.305115293,2.59451423,1.984965689,1.317873651,1.725429463,3.127735981,2.737867297,2.388406948,3.165918803,3.574074088,1.807562748,3.577688761,2.997782806,2.085844036,2.345344573,3.174548425,3.045761252,3.68014502
1.22842153,0,0.943442747,1.292567892,0.326887362,0.872953347,0.149405632,0.157591255,0,0.139263959,0.148906049,1.362469245,0.472560302,0.692429332,1.015545062,1.512192815,0,0.726673688,0,0,0,0.146430406,0,0,0,0,0.253273504,0,0,0,0,0,0,0,0,0
9.980924929,14.18605076,11.11165902,8.240120315,4.73986675,5.819688983,7.022064698,12.52029428,6.790533166,4.177918779,9.827799238,4.390178677,6.458324122,7.893694388,8.994827696,5.040642716,4.203546237,4.755846749,4.20088086,2.162095192,4.962414224,4.832203386,1.109204655,1.489398086,2.737867297,6.501774469,3.165918803,2.997610526,1.032892999,4.216561754,2.398226245,2.627595672,2.345344573,0.875737497,1.269067188,3.105122361
52.20791501,51.85576049,45.07559789,48.30972498,48.54277327,50.48580193,46.46515151,48.06533282,47.83553363,51.38840098,43.18275423,44.8100996,52.45419348,47.36216633,47.58554007,60.82375544,51.94382136,58.86056869,48.12247867,50.01646877,43.5274619,54.03281968,48.92824977,47.06497953,47.26423545,42.99132506,36.34474785,38.50776599,45.18906869,43.82668733,41.24949141,43.1074434,46.4131347,35.02949986,48.98599347,37.1464638
23.24757034,15.94940589,16.47282484,18.32150359,19.60555987,18.86554028,15.53489879,16.96737767,20.06014038,22.6574106,22.63371946,17.87287155,13.71978023,17.03888555,22.54364961,24.12300385,23.67437241,17.74101141,15.98155449,22.5562743,12.11159426,29.27978462,23.25731022,12.58930116,25.31360054,16.61999513,13.15819173,12.72474139,16.86171998,18.28646168,11.96400729,13.9531378,15.6623345,10.66908803,17.56617421,14.50954677
20.9630134,10.25640502,16.58677175,26.01292884,27.94886946,24.00621705,11.03218656,19.54131564,14.48647075,20.56622298,14.1368127,19.10666314,15.12192965,21.4653093,21.42509926,19.65850659,14.252694,17.58550324,6.87463981,9.945637883,10.35017824,9.371545961,7.887677545,14.89398086,8.789995007,8.492113592,10.76412393,10.72222227,10.45804161,7.155377523,7.794235296,7.300454124,8.270425598,14.12126713,7.61440313,7.360255539
